Sr#,Sample Code,E.C,pH,Turbidity,TDS,Ca,Mg,Cl,Na,K,Fe,F,Al,As,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,Zn
72,HUN-18,288,7.8,10.43,0,40,7,130,BDL,0,158.4,0,35.76,BDL,11.02,BDL,BDL,BDL,BDL,0.58,3.26,BDL,BDL,BDL,BDL
73,HUN-19,292,7.6,BDL,0,32,17,150,BDL,0,160.6,0,,,,,,,,,,,,,
74,HUN-20,243,7.9,BDL,4,40,5,120,BDL,0,133.65,0,13.05,1.3,23.19,BDL,0.16,BDL,BDL,BDL,2.46,BDL,BDL,BDL,BDL
75,GIL-01,140,7.6,BDL,0,12,5,50,BDL,11,77,0,,,,,,,,,,,,,
76,GIL-02,143,7.4,7.7,0,12,10,70,BDL,2,78.65,0,10.34,BDL,12.17,0.01,BDL,BDL,BDL,BDL,1.58,BDL,BDL,BDL,BDL
77,GIL-03,100,8.9,0.55,0,8,7,50,4,0,55,0,,,,,,,,,,,,,
78,GIL-04,243,7.5,BDL,0.06,28,10,110,4,3,133.65,0,24.22,BDL,13.88,BDL,BDL,BDL,BDL,BDL,5.53,BDL,BDL,BDL,BDL
79,GIL-05,175,7.7,BDL,0.12,24,2,70,10,4,96.25,0,,,,,,,,,,,,,
80,GIL-06,102,7.5,BDL,0.03,8,7,50,6,0,56.1,0,13.44,1.6,5.7,BDL,BDL,BDL,BDL,BDL,2.03,BDL,BDL,BDL,BDL
81,GIL-07,402,7.6,1.4,0.06,40,22,190,12,5,221.1,0,,,,,,,,,,,,,
82,GIL-08,100,7.6,BDL,0,12,7,60,6,0,55,0,17.15,BDL,5.17,0.02,0.12,BDL,BDL,0.11,1.76,BDL,BDL,BDL,BDL
83,GIL-09,709,7.1,BDL,0.02,80,19,280,24,33,389.95,0.06,,,,,,,,,,,,,
84,GIL-10,143,7.6,BDL,0.03,16,5,60,8,2,78.65,0,8.89,BDL,4.35,BDL,0.09,BDL,BDL,BDL,3.59,BDL,BDL,BDL,BDL
85,GIL-11,448,7.8,BDL,0.01,48,19,200,10,3,246.4,0,,,,,,,,,,,,,
86,GIL-12,638,7.6,BDL,0.02,80,24,300,12,6,350.9,0,11.83,BDL,14.27,BDL,1.07,BDL,BDL,BDL,16.86,BDL,BDL,BDL,BDL
87,GIL-13,862,7.5,BDL,0,108,39,430,12,3,474.1,0.52,,,,,,,,,,,,,
88,GIL-14,365,7.9,19.3,0.04,2,35,150,8,2,200.75,0,35.32,BDL,23.75,BDL,0.91,BDL,BDL,0.17,5.63,BDL,BDL,BDL,BDL
89,GIL-15,345,7.8,BDL,0.07,40,17,170,6,5,189.75,0,,,,,,,,,,,,,
90,GIL-16,312,7.8,35.5,0.23,28,22,160,6,0,171.6,0.32,644.88,BDL,12.28,0.07,BDL,3.96,BDL,17.22,7.87,BDL,BDL,BDL,BDL
91,GIL-17,193,7.7,64,0.35,24,10,100,4,0,106.15,0.42,,,,,,,,,,,,,
92,GIL-18,341,7.7,BDL,0.46,78,BDL,196,8,6,187.55,0,22.13,BDL,12.55,BDL,0.19,BDL,BDL,BDL,5.51,BDL,BDL,BDL,BDL
93,GIL-19,283,7.7,270,0.49,40,10,140,6,0,155.65,1.49,,,,,,,,,,,,,
94,GIL-20,502,7.5,BDL,0.21,56,22,230,16,7,276.1,0,12.48,BDL,20.26,BDL,0.87,BDL,BDL,BDL,6.69,BDL,BDL,BDL,BDL
